Wban Number, YearMonthDay, Max Temp, Min Temp, Avg Temp, Dep from Normal, Avg Dew Pt, Avg Wet Bulb, Heating Degree Days, Cooling Degree Days, Significant Weather, Snow/Ice Depth, Snow/Ice Water Equiv, Precipitation Snowfall, Precipitation Water Equiv, Pressue Avg Station, Pressure Avg Sea Level, Wind Speed, Wind Direction, Wind Avg Speed, Max 5 sec speed, Max 5 sec Dir, Max 2 min speed, Max 2 min Dir
03013,20040101,60,17,  39 ,  39, 16, 30, 26,  0,-,M  ,-,M   , 0.00,26.07,29.90,  3.5,22, 7.8, 21,33, 16,32
03013,20040102,65,25,  45*,  45, 20, 35, 20,  0,-,M  ,-,M   , 0.00,25.94,29.72,  6.7,26,10.7, 30,25, 24,26
03013,20040103,40,19,  30 ,  30, 13, 24, 35,  0,SN FG ,M  ,-,M   ,  T  ,26.06,29.88,  8.5,9, 9.8, 30,11, 26,11
03013,20040104,33,9,  21 ,  21, 13, 18, 44,  0,-,M  ,-,M   , 0.00,26.23,30.16,  2.3,5, 5.6, 16,5, 14,6
03013,20040105,21,-9,   6*,   6,  2,  6, 59,  0,SN FG HZ ,M  ,-,M   ,  T  ,26.49,30.51,  9.2,9,11.1, 24,5, 21,6
03013,20040106,24,-9,   8 ,   8,  0,  9, 57,  0,-,M  ,-,M   ,  T  ,26.51,30.58,  1.7,7, 3.6, 14,6, 12,6
03013,20040107,42,13,  28 ,  28,  7, 19, 37,  0,-,M  ,-,M   , 0.00,26.16,30.08,  0.2,23, 3.1, 10,12,  9,11
03013,20040108,60,14,  37 ,  37, 12, 25, 28,  0,-,M  ,-,M   , 0.00,26.33,30.23,  4.0,27, 8.3, 25,33, 22,33
03013,20040109,57,10,  34 ,  34, 12, 23, 31,  0,-,M  ,-,M   , 0.00,26.51,30.44,  2.3,25, 4.6, 14,1, 12,36
03013,20040110,61,12,  37 ,  37, 15, 25, 28,  0,-,M  ,-,M   , 0.00,26.40,30.30,  3.3,25, 4.8, 13,27, 10,22
03013,20040111,61,19,  40 ,  40, 16, 29, 25,  0,-,M  ,-,M   , 0.00,26.31,30.16,  1.9,24, 5.4, 14,9, 12,9
03013,20040112,51,11,  31 ,  31, 14, 23, 34,  0,-,M  ,-,M   , 0.00,26.42,30.33,  2.0,23, 4.0, 10,20, 10,20
03013,20040113,57,15,  36 ,  36, 15, 25, 29,  0,-,M  ,-,M   , 0.00,26.45,30.36,  4.4,25, 5.8, 15,27, 13,28
03013,20040114,57,16,  37 ,  37, 12, 26, 28,  0,-,M  ,-,M   , 0.00,26.36,30.25,  5.2,24, 6.6, 15,25, 14,28
03013,20040115,63,13,  38 ,  38, 21, 31, 27,  0,-,M  ,-,M   , 0.00,26.11,29.95,  6.0,20, 7.5, 26,20, 23,20
03013,20040116,60,26,  43 ,  43, 21, 34, 22,  0,-,M  ,-,M   , 0.00,25.98,29.77,  7.6,35,10.7, 25,2, 21,1
03013,20040117,49,27,  38 ,  38, 26, 34, 27,  0,-,M  ,-,M   , 0.00,26.20,30.02, 10.7,36,11.4, 30,2, 23,1
03013,20040118,32,19,  26 ,  26, 25, 27, 39,  0,FG FZFG ,M  ,-,M   , 0.00,26.30,30.17,  4.0,12, 5.6, 14,16, 12,15
03013,20040119,30,18,  24 ,  24, 23, 25, 41,  0,FG ,M  ,-,M   , 0.00,26.18,30.08,  3.1,22, 4.5, 16,15, 14,24
03013,20040120,45,20,  33 ,  33, 24, 30, 32,  0,FG ,M  ,-,M   ,  T  ,26.25,30.14,  0.3,14, 5.0, 16,8, 12,9
03013,20040121,48,14,  31 ,  31, 23, 29, 34,  0,-,M  ,-,M   , 0.00,26.36,30.22,  3.7,24, 4.9, 20,27, 16,26
03013,20040122,48,11,  30 ,  30, 15, 23, 35,  0,-,M  ,-,M   , 0.00,26.41,30.33,  4.7,23, 6.4, 13,23, 12,21
